epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2066.4,1.08102,0.92878,1.17221,0.91039,0.79124,0.87096,0.5879,1.17724,1.02323,1.17549,0.000637,0.000637,0.000637
57,2103.55,1.07123,0.90339,1.16373,0.86463,0.82225,0.87043,0.61406,1.10732,0.97595,1.16651,0.0006304,0.0006304,0.0006304
58,2140.07,1.04574,0.88826,1.15733,0.83703,0.84101,0.86154,0.59939,1.14456,1.01125,1.19254,0.0006238,0.0006238,0.0006238
59,2175.81,1.05408,0.90005,1.15879,0.87477,0.8052,0.86738,0.59225,1.18058,1.01108,1.22277,0.0006172,0.0006172,0.0006172
60,2212.37,1.03884,0.85734,1.14141,0.8777,0.83222,0.87598,0.61031,1.14408,0.95247,1.16341,0.0006106,0.0006106,0.0006106
61,2249.2,1.08434,0.87231,1.15878,0.86328,0.81924,0.86421,0.59978,1.13048,1.00369,1.17503,0.000604,0.000604,0.000604
62,2285.84,1.07283,0.89121,1.16739,0.89641,0.81159,0.87089,0.59131,1.16829,1.02322,1.18632,0.0005974,0.0005974,0.0005974
63,2321.71,1.04877,0.86017,1.14856,0.85271,0.83535,0.86869,0.59472,1.15804,0.98062,1.18175,0.0005908,0.0005908,0.0005908
64,2359.16,1.04381,0.86616,1.14612,0.86016,0.82018,0.86265,0.59481,1.13564,0.97209,1.16646,0.0005842,0.0005842,0.0005842
65,2396.26,1.04636,0.86105,1.14946,0.90451,0.80662,0.86821,0.60638,1.13601,0.99309,1.18045,0.0005776,0.0005776,0.0005776
66,2432.93,1.05215,0.86517,1.1474,0.88108,0.81463,0.87524,0.61022,1.13127,0.97734,1.17785,0.000571,0.000571,0.000571
67,2468.5,1.02658,0.82126,1.13452,0.88667,0.81493,0.86488,0.60156,1.14267,0.96267,1.19457,0.0005644,0.0005644,0.0005644
68,2504.88,1.03922,0.83548,1.1359,0.86444,0.82305,0.86928,0.60577,1.12154,0.99907,1.16652,0.0005578,0.0005578,0.0005578
69,2541.23,1.01421,0.83632,1.13238,0.88961,0.80236,0.86349,0.60932,1.12193,0.9939,1.17546,0.0005512,0.0005512,0.0005512
70,2576.91,1.03904,0.8315,1.14711,0.85354,0.83192,0.8699,0.61443,1.12825,0.9794,1.18715,0.0005446,0.0005446,0.0005446
71,2612.99,1.03526,0.82924,1.13991,0.8799,0.83501,0.8689,0.60805,1.12988,0.95271,1.15853,0.000538,0.000538,0.000538
72,2649.54,1.00294,0.81644,1.1324,0.89078,0.82005,0.87049,0.60339,1.13479,0.96521,1.19293,0.0005314,0.0005314,0.0005314
73,2686.01,1.01661,0.79755,1.13289,0.86903,0.81704,0.87247,0.61201,1.13194,0.99157,1.16627,0.0005248,0.0005248,0.0005248
74,2721.48,1.00713,0.82649,1.12725,0.87537,0.82323,0.87174,0.62485,1.09158,0.95202,1.13535,0.0005182,0.0005182,0.0005182
75,2758.4,1.00612,0.80553,1.12358,0.90798,0.81663,0.87976,0.62238,1.09407,0.92269,1.16495,0.0005116,0.0005116,0.0005116
76,2795.32,1.00405,0.79537,1.12045,0.85548,0.81878,0.86022,0.60468,1.13635,1.0074,1.17253,0.000505,0.000505,0.000505
77,2831.55,1.01096,0.82223,1.13258,0.90923,0.80758,0.87595,0.61901,1.08668,0.93711,1.14686,0.0004984,0.0004984,0.0004984
78,2867.29,1.00808,0.81104,1.12618,0.89591,0.81008,0.86953,0.61762,1.09411,0.93626,1.15518,0.0004918,0.0004918,0.0004918
